REJECTION_ID,SAMPLE_ID,EVENT_ID,GRAPH_ID,OUTLET_ID,FORECAST_TIME,TARGET_START,TARGET_END,TARGET_VARIABLE,TARGET_COVERAGE,MIN_TARGET_COVERAGE,REASON,SPLIT
R000000001,,B021_F0001,B021,612E2390,2021-04-12 00:00:00,2021-04-12 01:00:00,2021-04-12 06:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000002,,B021_F0001,B021,612E2390,2021-04-12 01:00:00,2021-04-12 02:00:00,2021-04-12 07:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000003,,B021_F0001,B021,612E2390,2021-04-12 15:00:00,2021-04-12 16:00:00,2021-04-12 21:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000004,,B021_F0001,B021,612E2390,2021-04-12 16:00:00,2021-04-12 17:00:00,2021-04-12 22:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000005,,B021_F0001,B021,612E2390,2021-04-12 17:00:00,2021-04-12 18:00:00,2021-04-12 23:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000006,,B021_F0001,B021,612E2390,2021-04-12 18:00:00,2021-04-12 19:00:00,2021-04-13 00:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000007,,B021_F0001,B021,612E2390,2021-04-12 19:00:00,2021-04-12 20:00:00,2021-04-13 01:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000008,,B021_F0001,B021,612E2390,2021-04-12 20:00:00,2021-04-12 21:00:00,2021-04-13 02:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000009,,B021_F0001,B021,612E2390,2021-04-12 21:00:00,2021-04-12 22:00:00,2021-04-13 03:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000010,,B021_F0001,B021,612E2390,2021-04-12 22:00:00,2021-04-12 23:00:00,2021-04-13 04:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000011,,B021_F0001,B021,612E2390,2021-04-12 23:00:00,2021-04-13 00:00:00,2021-04-13 05:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000012,,B021_F0001,B021,612E2390,2021-04-13 00:00:00,2021-04-13 01:00:00,2021-04-13 06:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000013,,B021_F0001,B021,612E2390,2021-04-13 01:00:00,2021-04-13 02:00:00,2021-04-13 07:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000014,,B021_F0001,B021,612E2390,2021-04-13 02:00:00,2021-04-13 03:00:00,2021-04-13 08:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000015,,B021_F0001,B021,612E2390,2021-04-13 03:00:00,2021-04-13 04:00:00,2021-04-13 09:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000016,,B021_F0001,B021,612E2390,2021-04-13 04:00:00,2021-04-13 05:00:00,2021-04-13 10:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000017,,B021_F0001,B021,612E2390,2021-04-13 05:00:00,2021-04-13 06:00:00,2021-04-13 11:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000018,,B021_F0001,B021,612E2390,2021-04-13 06:00:00,2021-04-13 07:00:00,2021-04-13 12:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
